flow_id,packet_count,mean_packet_size,std_packet_size,flow_duration,bytes_ratio,label
157.240.1.174:443<->192.168.1.100:65065/TCP,24,527.9583,302.3011,5.499231,0.410553,Instagram
192.168.1.100:57883<->23.52.167.61:443/TCP,24,690.25,423.7302,4.086999,0.589522,Twitter/X
140.82.114.4:443<->192.168.1.100:55931/TCP,24,645.75,371.6332,5.653369,1.451827,GitHub
192.168.1.100:54920<->35.186.227.140:443/TCP,24,549.5833,431.5624,4.58359,0.348119,Telegram
192.168.1.100:59104<->35.186.224.25:443/TCP,23,613.8696,403.0672,4.451109,0.360212,Zoom
192.168.1.100:57287<->23.52.167.61:443/TCP,22,598.5455,397.3606,3.259109,0.595928,Twitter/X
192.168.1.100:63696<->23.52.167.61:443/TCP,22,609.9545,401.0906,4.826101,0.698178,Twitter/X
192.0.78.24:443<->192.168.1.100:51308/TCP,22,555.6364,398.8852,5.237104,3.879840,Cloudflare
157.240.1.35:443<->192.168.1.100:63894/TCP,19,547.3684,382.9257,3.172069,1.360953,Facebook
192.0.78.24:443<->192.168.1.100:59762/TCP,19,441.7368,329.2911,3.336325,0.758433,Cloudflare
13.107.42.14:443<->192.168.1.100:51160/TCP,19,474.1053,329.4041,3.95408,0.921502,Twitter/X
142.250.185.206:443<->192.168.1.100:49971/TCP,18,559.0,401.7109,3.859415,1.505478,Google
104.244.42.65:443<->192.168.1.100:61066/TCP,18,590.3889,401.283,3.279725,2.365104,Twitter/X
192.168.1.100:59379<->23.52.167.61:443/TCP,18,623.5556,377.3359,4.391081,0.950304,Twitter/X
192.168.1.100:52498<->35.186.224.25:443/TCP,18,477.2778,354.4565,4.520228,1.124907,Zoom
142.250.185.110:443<->192.168.1.100:61187/TCP,17,701.5882,498.0196,3.998157,1.670025,YouTube
192.168.1.100:51523<->52.94.236.248:443/TCP,17,473.1765,313.5571,3.228179,1.352735,Amazon
104.16.85.20:443<->192.168.1.100:58505/TCP,17,606.9412,433.8499,3.215984,1.555225,Discord
192.168.1.100:49174<->35.186.227.140:443/TCP,17,487.1176,361.3177,4.308476,1.672152,Telegram
13.107.42.14:443<->192.168.1.100:55472/TCP,17,420.5294,262.2283,3.814074,0.588667,Twitter/X
142.250.185.110:443<->192.168.1.100:50924/TCP,16,527.0625,406.497,2.811071,2.748000,YouTube
157.240.1.35:443<->192.168.1.100:64123/TCP,16,638.8125,419.0126,2.952198,1.230199,Facebook
192.168.1.100:58504<->52.94.236.248:443/TCP,16,506.75,342.4682,3.068174,0.786297,Amazon
192.0.78.24:443<->192.168.1.100:56075/TCP,16,542.25,384.8962,3.289954,3.226011,Cloudflare
104.244.42.65:443<->192.168.1.100:64906/TCP,15,643.8667,464.1693,2.508961,9.648291,Twitter/X
192.168.1.100:64730<->35.186.224.25:443/TCP,15,494.8,358.3135,2.807431,0.878036,Zoom
13.107.42.14:443<->192.168.1.100:57367/TCP,15,508.9333,377.6087,3.014373,1.138375,Twitter/X
192.168.1.100:49681<->35.186.224.47:443/TCP,14,620.2143,488.9435,2.622252,0.243092,Spotify
140.82.114.4:443<->192.168.1.100:61933/TCP,13,634.9231,430.7117,2.027562,1.164132,GitHub
192.168.1.100:52920<->35.186.227.140:443/TCP,13,541.8462,382.3731,2.191207,2.067944,Telegram
17.253.144.10:443<->192.168.1.100:62456/TCP,13,623.2308,485.8637,2.976686,3.309574,Apple
192.168.1.100:64943<->99.86.0.100:443/TCP,11,419.8182,347.284,2.400721,0.573960,TikTok
157.240.1.174:443<->192.168.1.100:50427/TCP,10,476.7,406.8543,1.179569,5.969298,Instagram
104.16.85.20:443<->192.168.1.100:49591/TCP,10,420.9,409.4876,1.068994,1.392837,Discord
192.168.1.100:64356<->99.86.0.100:443/TCP,10,285.8,254.3831,1.578459,0.587778,TikTok
192.0.78.24:443<->192.168.1.100:59742/TCP,10,502.4,377.9008,1.869404,0.241413,Cloudflare
140.82.114.4:443<->192.168.1.100:62680/TCP,9,405.2222,348.9956,1.740814,2.294490,GitHub
104.16.85.20:443<->192.168.1.100:57041/TCP,9,283.1111,226.8511,1.51048,0.756030,Discord
192.168.1.100:50740<->35.186.224.25:443/TCP,9,326.6667,340.9083,1.485692,0.858407,Zoom
192.168.1.100:63222<->99.86.0.100:443/TCP,9,432.5556,460.3933,1.172958,0.219230,TikTok
192.168.1.100:53414<->52.94.236.248:443/TCP,8,334.25,310.0156,1.287086,2.206235,Amazon
140.82.114.4:443<->192.168.1.100:59216/TCP,8,642.125,584.2411,1.296722,3.525991,GitHub
192.168.1.100:64742<->35.186.227.140:443/TCP,8,508.375,547.9313,0.945893,0.363850,Telegram
157.240.1.174:443<->192.168.1.100:58777/TCP,7,244.8571,274.7801,0.906065,2.541322,Instagram
192.168.1.100:64005<->23.52.167.61:443/TCP,7,283.2857,272.1416,0.681844,1.720165,Twitter/X
