flow_id,packet_count,mean_packet_size,std_packet_size,flow_duration,bytes_ratio,label
142.250.185.206:443<->192.168.1.100:54552/TCP,4,75.0,36.3731,2.89601,0.219512,Google
142.250.185.110:443<->192.168.1.100:58867/TCP,4,75.25,36.8061,2.847795,0.218623,YouTube
157.240.1.35:443<->192.168.1.100:64044/TCP,4,75.5,37.2391,2.382961,0.217742,Facebook
157.240.1.174:443<->192.168.1.100:58747/TCP,4,75.75,37.6721,3.423325,0.216867,Instagram
104.244.42.65:443<->192.168.1.100:59993/TCP,4,74.25,35.074,3.07726,0.222222,Twitter/X
192.168.1.100:63093<->52.94.236.248:443/TCP,4,75.0,36.3731,3.24686,4.555556,Amazon
192.168.1.100:50684<->23.52.167.61:443/TCP,4,75.25,36.8061,2.894765,4.574074,Twitter/X
140.82.114.4:443<->192.168.1.100:55490/TCP,4,74.0,34.641,2.963958,0.223140,GitHub
104.16.85.20:443<->192.168.1.100:54566/TCP,4,74.25,35.074,3.179164,0.222222,Discord
192.168.1.100:49582<->35.186.224.25:443/TCP,4,73.25,33.342,2.138556,4.425926,Zoom
192.168.1.100:52879<->35.186.227.140:443/TCP,4,75.5,37.2391,2.856447,4.592593,Telegram
192.168.1.100:63971<->99.86.0.100:443/TCP,4,75.0,36.3731,2.676542,4.555556,TikTok
192.168.1.100:51883<->35.186.224.47:443/TCP,4,75.5,37.2391,2.751437,4.592593,Spotify
192.0.78.24:443<->192.168.1.100:52439/TCP,4,76.0,38.1051,3.124923,0.216000,Cloudflare
13.107.42.14:443<->192.168.1.100:57103/TCP,4,75.75,37.6721,2.821919,0.216867,Twitter/X
17.253.144.10:443<->192.168.1.100:56170/TCP,4,74.75,35.9401,3.417612,0.220408,Apple
192.168.1.100:58936<->93.184.216.34:80/TCP,2,92.0,38.0,1.091062,inf,HTTPS
185.199.108.153:80<->192.168.1.100:64312/TCP,2,92.0,38.0,1.722503,0.000000,HTTPS
192.168.1.100:55178<->8.8.8.8:53/UDP,1,74.0,0.0,0.0,inf,Google
192.168.1.100:63295<->8.8.8.8:53/UDP,1,75.0,0.0,0.0,inf,YouTube
192.168.1.100:61888<->8.8.8.8:53/UDP,1,76.0,0.0,0.0,inf,Facebook
192.168.1.100:51251<->8.8.8.8:53/UDP,1,75.0,0.0,0.0,inf,Twitter/X
172.217.0.100:443<->192.168.1.50:58448/TCP,1,54.0,0.0,0.0,0.000000,Unknown
172.217.0.100:443<->192.168.1.50:50713/TCP,1,54.0,0.0,0.0,0.000000,Unknown
172.217.0.100:443<->192.168.1.50:49913/TCP,1,54.0,0.0,0.0,0.000000,Unknown
172.217.0.100:443<->192.168.1.50:64009/TCP,1,54.0,0.0,0.0,0.000000,Unknown
172.217.0.100:443<->192.168.1.50:53728/TCP,1,54.0,0.0,0.0,0.000000,Unknown
